team,season,matches,wins,losses,win_pct
Mumbai Indians,2009/10,32,22.0,10.0,68.75
Mumbai Indians,2011,12,10.0,2.0,83.33333333333334
Mumbai Indians,2019,18,12.0,6.0,66.66666666666666
Mumbai Indians,2020/21,32,22.0,10.0,68.75
Mumbai Indians,2021,7,4.0,3.0,57.14285714285714
Punjab Kings,2009,19,0.0,19.0,0.0
Punjab Kings,2011,18,0.0,18.0,0.0
Punjab Kings,2012,32,0.0,32.0,0.0
Punjab Kings,2013,32,0.0,32.0,0.0
Punjab Kings,2014,34,0.0,34.0,0.0
Punjab Kings,2015,28,0.0,28.0,0.0
Punjab Kings,2016,28,0.0,28.0,0.0
Punjab Kings,2017,28,0.0,28.0,0.0
Punjab Kings,2018,28,0.0,28.0,0.0
Punjab Kings,2019,16,0.0,16.0,0.0
Punjab Kings,2021,22,10.0,12.0,45.45454545454545
Punjab Kings,2022,28,14.0,14.0,50.0
Punjab Kings,2023,28,12.0,16.0,42.857142857142854
Punjab Kings,2024,28,10.0,18.0,35.714285714285715
Punjab Kings,2025,35,20.0,15.0,57.14285714285714
Punjab Kings,2026,9,8.0,1.0,88.88888888888889
Punjab Kings,2007/08,30,0.0,30.0,0.0
Punjab Kings,2009,11,0.0,11.0,0.0
Punjab Kings,2009/10,28,0.0,28.0,0.0
Punjab Kings,2011,10,0.0,10.0,0.0
Punjab Kings,2019,12,0.0,12.0,0.0
Punjab Kings,2020/21,28,0.0,28.0,0.0
Punjab Kings,2021,6,2.0,4.0,33.33333333333333
Rajasthan Royals,2009,17,10.0,7.0,58.82352941176471
Rajasthan Royals,2011,14,6.0,8.0,42.857142857142854
Rajasthan Royals,2012,32,14.0,18.0,43.75
Rajasthan Royals,2013,36,22.0,14.0,61.111111111111114
Rajasthan Royals,2014,28,12.0,16.0,42.857142857142854
Rajasthan Royals,2015,27,14.0,13.0,51.85185185185185
Rajasthan Royals,2018,30,14.0,16.0,46.666666666666664
Rajasthan Royals,2019,14,4.0,10.0,28.57142857142857
Rajasthan Royals,2021,22,8.0,14.0,36.36363636363637
Rajasthan Royals,2022,34,20.0,14.0,58.82352941176471
Rajasthan Royals,2023,28,14.0,14.0,50.0
Rajasthan Royals,2024,30,18.0,12.0,60.0
Rajasthan Royals,2025,28,8.0,20.0,28.57142857142857
Rajasthan Royals,2026,10,8.0,2.0,80.0
Rajasthan Royals,2007/08,32,26.0,6.0,81.25
Rajasthan Royals,2009,10,0.0,10.0,0.0
Rajasthan Royals,2009/10,28,12.0,16.0,42.857142857142854
Rajasthan Royals,2011,12,6.0,6.0,50.0
Rajasthan Royals,2019,14,6.0,8.0,42.857142857142854
Rajasthan Royals,2020/21,28,12.0,16.0,42.857142857142854
Rajasthan Royals,2021,6,2.0,4.0,33.33333333333333
Rising Pune Supergiants,2016,28,10.0,18.0,35.714285714285715
Rising Pune Supergiants,2017,32,0.0,32.0,0.0
Royal Challengers Bengaluru,2009,14,0.0,14.0,0.0
Royal Challengers Bengaluru,2011,20,0.0,20.0,0.0
Royal Challengers Bengaluru,2012,30,0.0,30.0,0.0
Royal Challengers Bengaluru,2013,32,0.0,32.0,0.0
Royal Challengers Bengaluru,2014,28,0.0,28.0,0.0
Royal Challengers Bengaluru,2015,31,0.0,31.0,0.0
Royal Challengers Bengaluru,2016,32,0.0,32.0,0.0
Royal Challengers Bengaluru,2017,26,0.0,26.0,0.0
Royal Challengers Bengaluru,2018,28,0.0,28.0,0.0
Royal Challengers Bengaluru,2019,15,0.0,15.0,0.0
Royal Challengers Bengaluru,2021,24,0.0,24.0,0.0
Royal Challengers Bengaluru,2022,32,0.0,32.0,0.0
Royal Challengers Bengaluru,2023,28,0.0,28.0,0.0
Royal Challengers Bengaluru,2024,30,14.0,16.0,46.666666666666664
Royal Challengers Bengaluru,2025,30,22.0,8.0,73.33333333333333
Royal Challengers Bengaluru,2026,10,8.0,2.0,80.0
Royal Challengers Bengaluru,2007/08,28,0.0,28.0,0.0
Royal Challengers Bengaluru,2009,18,0.0,18.0,0.0
Royal Challengers Bengaluru,2009/10,32,0.0,32.0,0.0
Royal Challengers Bengaluru,2011,12,0.0,12.0,0.0
Royal Challengers Bengaluru,2019,14,0.0,14.0,0.0
Royal Challengers Bengaluru,2020/21,30,0.0,30.0,0.0
Royal Challengers Bengaluru,2021,6,0.0,6.0,0.0
Sunrisers Hyderabad,2009,20,0.0,20.0,0.0
Sunrisers Hyderabad,2011,14,0.0,14.0,0.0
Sunrisers Hyderabad,2012,30,0.0,30.0,0.0
Sunrisers Hyderabad,2013,34,18.0,16.0,52.94117647058824
Sunrisers Hyderabad,2014,28,12.0,16.0,42.857142857142854
Sunrisers Hyderabad,2015,28,14.0,14.0,50.0
Sunrisers Hyderabad,2016,34,22.0,12.0,64.70588235294117
Sunrisers Hyderabad,2017,28,16.0,12.0,57.14285714285714
Sunrisers Hyderabad,2018,34,20.0,14.0,58.82352941176471
Sunrisers Hyderabad,2019,14,6.0,8.0,42.857142857142854
Sunrisers Hyderabad,2021,22,6.0,16.0,27.27272727272727
Sunrisers Hyderabad,2022,28,12.0,16.0,42.857142857142854
Sunrisers Hyderabad,2023,28,8.0,20.0,28.57142857142857
Sunrisers Hyderabad,2024,32,18.0,14.0,56.25
Sunrisers Hyderabad,2025,27,12.0,15.0,44.44444444444444
Sunrisers Hyderabad,2026,10,4.0,6.0,40.0
Sunrisers Hyderabad,2007/08,28,0.0,28.0,0.0
Sunrisers Hyderabad,2009,13,0.0,13.0,0.0
Sunrisers Hyderabad,2009/10,32,0.0,32.0,0.0
Sunrisers Hyderabad,2011,14,0.0,14.0,0.0
Sunrisers Hyderabad,2019,16,6.0,10.0,37.5
Sunrisers Hyderabad,2020/21,32,16.0,16.0,50.0
Sunrisers Hyderabad,2021,6,0.0,6.0,0.0
