batter,bowler,runs,balls,dismissals,strike_rate,average
CA Ingram,S Kaul,1,2,3,50.0,0.3333333333333333
CA Ingram,SK Raina,1,1,1,100.0,1.0
CA Ingram,SL Malinga,0,1,1,0.0,0.0
CA Ingram,SM Curran,1,2,2,50.0,0.5
CA Ingram,STR Binny,3,3,3,100.0,1.0
CA Ingram,Sandeep Sharma,2,3,3,66.66666666666666,0.6666666666666666
CA Ingram,Washington Sundar,1,1,1,100.0,1.0
CA Ingram,YS Chahal,7,5,5,140.0,1.4
CA Ingram,Yuvraj Singh,7,6,6,116.66666666666667,1.1666666666666667
CA Lynn,A Chandila,1,3,3,33.33333333333333,0.3333333333333333
CA Lynn,A Choudhary,14,6,6,233.33333333333334,2.3333333333333335
CA Lynn,AB Dinda,3,3,3,100.0,1.0
CA Lynn,AJ Tye,30,11,11,272.7272727272727,2.727272727272727
CA Lynn,AR Patel,22,15,15,146.66666666666666,1.4666666666666666
CA Lynn,AS Rajpoot,9,5,5,180.0,1.8
CA Lynn,Anureet Singh,2,2,2,100.0,1.0
CA Lynn,Arshdeep Singh,21,8,8,262.5,2.625
CA Lynn,B Kumar,42,31,33,135.48387096774192,1.2727272727272727
CA Lynn,B Stanlake,12,8,8,150.0,1.5
CA Lynn,BA Stokes,7,11,11,63.63636363636363,0.6363636363636364
CA Lynn,BB Sran,38,15,15,253.33333333333331,2.533333333333333
CA Lynn,CH Morris,15,12,12,125.0,1.25
CA Lynn,CR Brathwaite,18,10,10,180.0,1.8
CA Lynn,CR Woakes,4,5,5,80.0,0.8
CA Lynn,CV Varun,1,1,1,100.0,1.0
CA Lynn,DL Chahar,35,24,24,145.83333333333331,1.4583333333333333
CA Lynn,DR Smith,23,6,6,383.33333333333337,3.8333333333333335
CA Lynn,DS Kulkarni,46,17,19,270.5882352941177,2.4210526315789473
CA Lynn,DT Christian,7,4,5,175.0,1.4
CA Lynn,DW Steyn,1,2,2,50.0,0.5
CA Lynn,GJ Maxwell,0,1,1,0.0,0.0
CA Lynn,HH Pandya,1,3,3,33.33333333333333,0.3333333333333333
CA Lynn,HV Patel,9,6,6,150.0,1.5
CA Lynn,Harbhajan Singh,2,3,3,66.66666666666666,0.6666666666666666
CA Lynn,IS Sodhi,8,12,12,66.66666666666666,0.6666666666666666
CA Lynn,Imran Tahir,9,8,9,112.5,1.0
CA Lynn,JA Morkel,10,7,8,142.85714285714286,1.25
CA Lynn,JC Archer,32,20,21,160.0,1.5238095238095237
CA Lynn,JD Unadkat,12,10,10,120.0,1.2
CA Lynn,JJ Bumrah,33,27,27,122.22222222222223,1.2222222222222223
CA Lynn,K Gowtham,11,17,17,64.70588235294117,0.6470588235294118
CA Lynn,K Rabada,9,7,7,128.57142857142858,1.2857142857142858
CA Lynn,KA Jamieson,2,7,7,28.57142857142857,0.2857142857142857
CA Lynn,KH Pandya,29,28,28,103.57142857142858,1.0357142857142858
CA Lynn,KK Ahmed,17,13,15,130.76923076923077,1.1333333333333333
CA Lynn,KV Sharma,2,2,2,100.0,1.0
CA Lynn,L Balaji,6,4,4,150.0,1.5
CA Lynn,L Ngidi,12,6,6,200.0,2.0
CA Lynn,M Ashwin,11,10,10,110.00000000000001,1.1
CA Lynn,M Muralitharan,16,7,7,228.57142857142856,2.2857142857142856
CA Lynn,MA Starc,1,1,1,100.0,1.0
CA Lynn,MG Johnson,11,10,11,110.00000000000001,1.0
CA Lynn,MJ Henry,23,10,10,229.99999999999997,2.3
CA Lynn,MJ McClenaghan,49,32,34,153.125,1.4411764705882353
CA Lynn,MJ Santner,11,8,8,137.5,1.375
CA Lynn,MM Sharma,15,10,10,150.0,1.5
CA Lynn,MP Stoinis,1,2,2,50.0,0.5
CA Lynn,MS Gony,10,4,6,250.0,1.6666666666666667
CA Lynn,Mohammed Shami,15,18,18,83.33333333333334,0.8333333333333334
CA Lynn,Mohammed Siraj,18,15,18,120.0,1.0
CA Lynn,Mujeeb Ur Rahman,13,13,13,100.0,1.0
CA Lynn,Navdeep Saini,1,2,2,50.0,0.5
CA Lynn,P Kumar,8,6,6,133.33333333333331,1.3333333333333333
CA Lynn,P Negi,2,4,4,50.0,0.5
CA Lynn,R Ashwin,25,15,15,166.66666666666669,1.6666666666666667
CA Lynn,R Dhawan,6,5,7,120.0,0.8571428571428571
CA Lynn,R Tewatia,9,14,15,64.28571428571429,0.6
CA Lynn,R Vinay Kumar,0,2,2,0.0,0.0
CA Lynn,RA Jadeja,33,18,19,183.33333333333331,1.736842105263158
CA Lynn,RD Chahar,23,11,11,209.0909090909091,2.090909090909091
CA Lynn,Rashid Khan,23,24,24,95.83333333333334,0.9583333333333334
CA Lynn,S Aravind,1,3,4,33.33333333333333,0.25
CA Lynn,S Badree,1,2,2,50.0,0.5
CA Lynn,S Gopal,17,13,13,130.76923076923077,1.3076923076923077
CA Lynn,S Kaul,48,26,26,184.6153846153846,1.8461538461538463
CA Lynn,S Kaushik,17,11,11,154.54545454545453,1.5454545454545454
CA Lynn,S Lamichhane,1,1,1,100.0,1.0
CA Lynn,S Midhun,6,4,4,150.0,1.5
CA Lynn,S Nadeem,25,23,23,108.69565217391303,1.0869565217391304
CA Lynn,SB Jakati,7,6,7,116.66666666666667,1.0
CA Lynn,SK Trivedi,1,2,2,50.0,0.5
CA Lynn,SL Malinga,30,16,18,187.5,1.6666666666666667
CA Lynn,SN Thakur,9,9,9,100.0,1.0
CA Lynn,SR Watson,9,5,5,180.0,1.8
CA Lynn,STR Binny,9,3,3,300.0,3.0
CA Lynn,SW Tait,4,4,5,100.0,0.8
CA Lynn,Sandeep Sharma,32,27,27,118.5185185185185,1.1851851851851851
CA Lynn,Shahbaz Ahmed,12,4,4,300.0,3.0
CA Lynn,Shakib Al Hasan,20,29,29,68.96551724137932,0.6896551724137931
CA Lynn,Swapnil Singh,15,8,9,187.5,1.6666666666666667
CA Lynn,TA Boult,17,14,14,121.42857142857142,1.2142857142857142
CA Lynn,TG Southee,51,28,29,182.14285714285714,1.7586206896551724
CA Lynn,UT Yadav,13,8,8,162.5,1.625
CA Lynn,VR Aaron,6,10,10,60.0,0.6
CA Lynn,Washington Sundar,5,3,3,166.66666666666669,1.6666666666666667
CA Lynn,YS Chahal,87,62,62,140.3225806451613,1.403225806451613
CA Lynn,Yuvraj Singh,7,3,3,233.33333333333334,2.3333333333333335
CA Pujara,A Kumble,2,5,5,40.0,0.4
CA Pujara,A Mishra,13,13,13,100.0,1.0
CA Pujara,A Nehra,11,7,7,157.14285714285714,1.5714285714285714
CA Pujara,A Symonds,9,6,6,150.0,1.5
CA Pujara,AB Dinda,0,1,1,0.0,0.0
CA Pujara,AC Voges,10,7,8,142.85714285714286,1.25
CA Pujara,AJ Finch,4,5,5,80.0,0.8
CA Pujara,Azhar Mahmood,8,9,9,88.88888888888889,0.8888888888888888
CA Pujara,B Kumar,1,6,6,16.666666666666664,0.16666666666666666
CA Pujara,B Lee,6,6,6,100.0,1.0
CA Pujara,CJ Anderson,4,3,3,133.33333333333331,1.3333333333333333
CA Pujara,DAJ Bracewell,1,1,1,100.0,1.0
CA Pujara,DE Bollinger,0,1,1,0.0,0.0
CA Pujara,DJG Sammy,6,3,3,200.0,2.0
CA Pujara,DS Kulkarni,5,6,6,83.33333333333334,0.8333333333333334
CA Pujara,DT Christian,2,2,2,100.0,1.0
CA Pujara,DW Steyn,25,19,20,131.57894736842107,1.25
CA Pujara,FY Fazal,1,1,1,100.0,1.0
CA Pujara,Harmeet Singh,5,3,4,166.66666666666669,1.25
CA Pujara,IK Pathan,14,18,19,77.77777777777779,0.7368421052631579
CA Pujara,JA Morkel,6,4,6,150.0,1.0
CA Pujara,JH Kallis,14,9,9,155.55555555555557,1.5555555555555556
CA Pujara,JJ Bumrah,4,5,7,80.0,0.5714285714285714
CA Pujara,JP Faulkner,14,8,8,175.0,1.75
CA Pujara,JR Hopes,3,4,4,75.0,0.75
CA Pujara,Jaskaran Singh,4,6,6,66.66666666666666,0.6666666666666666
CA Pujara,KV Sharma,9,8,9,112.5,1.0
CA Pujara,KW Richardson,9,8,8,112.5,1.125
CA Pujara,Kamran Khan,6,5,5,120.0,1.2
CA Pujara,L Balaji,2,7,7,28.57142857142857,0.2857142857142857
CA Pujara,M Morkel,14,15,16,93.33333333333333,0.875
CA Pujara,MA Starc,3,10,10,30.0,0.3
CA Pujara,MG Neser,6,5,5,120.0,1.2
CA Pujara,MM Patel,9,5,5,180.0,1.8
CA Pujara,MM Sharma,1,1,1,100.0,1.0
CA Pujara,MS Gony,19,12,12,158.33333333333331,1.5833333333333333
CA Pujara,P Awana,14,13,13,107.6923076923077,1.0769230769230769
CA Pujara,P Kumar,7,13,13,53.84615384615385,0.5384615384615384
CA Pujara,PP Chawla,13,13,13,100.0,1.0
CA Pujara,PV Tambe,7,10,10,70.0,0.7
CA Pujara,R Ashwin,2,4,5,50.0,0.4
CA Pujara,R Bhatia,5,5,5,100.0,1.0
CA Pujara,RP Singh,5,7,7,71.42857142857143,0.7142857142857143
CA Pujara,S Kaul,4,4,4,100.0,1.0
CA Pujara,S Randiv,1,2,2,50.0,0.5
CA Pujara,SK Trivedi,10,12,12,83.33333333333334,0.8333333333333334
CA Pujara,SK Warne,14,12,12,116.66666666666667,1.1666666666666667
CA Pujara,SMSM Senanayake,3,7,7,42.857142857142854,0.42857142857142855
CA Pujara,SR Watson,4,6,6,66.66666666666666,0.6666666666666666
CA Pujara,STR Binny,0,1,1,0.0,0.0
CA Pujara,SW Tait,8,5,5,160.0,1.6
CA Pujara,Sandeep Sharma,11,10,10,110.00000000000001,1.1
CA Pujara,UT Yadav,7,6,6,116.66666666666667,1.1666666666666667
CA Pujara,VR Aaron,1,3,3,33.33333333333333,0.3333333333333333
CA Pujara,WPUJC Vaas,4,7,7,57.14285714285714,0.5714285714285714
CA Pujara,Y Nagar,1,2,2,50.0,0.5
CA Pujara,YK Pathan,8,5,6,160.0,1.3333333333333333
CA Pujara,Z Khan,11,10,10,110.00000000000001,1.1
CH Gayle,A Ashish Reddy,1,1,1,100.0,1.0
CH Gayle,A Chandila,23,23,23,100.0,1.0
CH Gayle,A Kumble,6,6,6,100.0,1.0
CH Gayle,A Mishra,67,31,32,216.1290322580645,2.09375
CH Gayle,A Nehra,45,28,28,160.71428571428572,1.6071428571428572
CH Gayle,A Singh,7,4,4,175.0,1.75
CH Gayle,A Symonds,0,2,2,0.0,0.0
CH Gayle,AB Dinda,33,21,22,157.14285714285714,1.5
CH Gayle,AB McDonald,22,8,9,275.0,2.4444444444444446
CH Gayle,AC Thomas,15,14,14,107.14285714285714,1.0714285714285714
CH Gayle,AD Mascarenhas,23,13,13,176.9230769230769,1.7692307692307692
CH Gayle,AD Mathews,16,18,19,88.88888888888889,0.8421052631578947
CH Gayle,AD Russell,82,46,46,178.26086956521738,1.7826086956521738
CH Gayle,AG Murtaza,43,10,11,430.0,3.909090909090909
CH Gayle,AJ Finch,28,5,5,560.0,5.6
CH Gayle,AJ Tye,2,4,4,50.0,0.5
CH Gayle,AL Menaria,7,4,4,175.0,1.75
CH Gayle,AM Nayar,16,8,8,200.0,2.0
CH Gayle,AN Ahmed,28,10,11,280.0,2.5454545454545454
CH Gayle,AR Patel,61,29,33,210.3448275862069,1.8484848484848484
CH Gayle,AS Joseph,2,3,3,66.66666666666666,0.6666666666666666
CH Gayle,AS Rajpoot,1,4,4,25.0,0.25
CH Gayle,Anand Rajan,11,6,7,183.33333333333331,1.5714285714285714
CH Gayle,Anureet Singh,4,9,9,44.44444444444444,0.4444444444444444
CH Gayle,Avesh Khan,7,5,5,140.0,1.4
CH Gayle,Azhar Mahmood,20,22,22,90.9090909090909,0.9090909090909091
CH Gayle,B Kumar,131,91,94,143.95604395604394,1.3936170212765957
CH Gayle,B Lee,50,28,29,178.57142857142858,1.7241379310344827
CH Gayle,BA Stokes,52,28,33,185.71428571428572,1.5757575757575757
CH Gayle,BAW Mendis,2,5,5,40.0,0.4
CH Gayle,BB Sran,27,12,14,225.0,1.9285714285714286
CH Gayle,BCJ Cutting,24,17,19,141.1764705882353,1.263157894736842
CH Gayle,BE Hendricks,3,2,2,150.0,1.5
CH Gayle,Basil Thampi,18,16,16,112.5,1.125
CH Gayle,C Sakariya,0,2,2,0.0,0.0
CH Gayle,CH Morris,51,49,53,104.08163265306123,0.9622641509433962
CH Gayle,CJ Anderson,6,6,6,100.0,1.0
CH Gayle,CJ Jordan,22,13,13,169.23076923076923,1.6923076923076923
CH Gayle,CR Woakes,6,4,5,150.0,1.2
CH Gayle,CV Varun,15,5,5,300.0,3.0
CH Gayle,DE Bollinger,17,11,11,154.54545454545453,1.5454545454545454
CH Gayle,DJ Bravo,60,49,57,122.44897959183673,1.0526315789473684
CH Gayle,DJ Hooda,14,11,12,127.27272727272727,1.1666666666666667
CH Gayle,DJ Hussey,4,5,5,80.0,0.8
CH Gayle,DJ Muthuswami,14,6,6,233.33333333333334,2.3333333333333335
CH Gayle,DL Chahar,37,28,30,132.14285714285714,1.2333333333333334
CH Gayle,DL Vettori,1,1,1,100.0,1.0
CH Gayle,DP Nannes,5,9,10,55.55555555555556,0.5
CH Gayle,DR Sams,2,4,5,50.0,0.4
CH Gayle,DR Smith,14,4,5,350.0,2.8
CH Gayle,DS Kulkarni,60,50,53,120.0,1.1320754716981132
CH Gayle,DW Steyn,59,49,50,120.40816326530613,1.18
CH Gayle,FH Edwards,0,4,4,0.0,0.0
CH Gayle,GB Hogg,15,8,8,187.5,1.875
CH Gayle,GH Vihari,1,2,2,50.0,0.5
CH Gayle,GJ Maxwell,35,14,15,250.0,2.3333333333333335
CH Gayle,GR Napier,2,2,2,100.0,1.0
CH Gayle,HF Gurney,2,4,4,50.0,0.5
CH Gayle,HH Pandya,53,26,31,203.84615384615384,1.7096774193548387
CH Gayle,HV Patel,7,6,6,116.66666666666667,1.1666666666666667
CH Gayle,Harbhajan Singh,102,102,103,100.0,0.9902912621359223
CH Gayle,Harmeet Singh,23,12,13,191.66666666666669,1.7692307692307692
CH Gayle,I Sharma,36,20,20,180.0,1.8
CH Gayle,I Udana,1,2,2,50.0,0.5
CH Gayle,IC Pandey,22,9,9,244.44444444444446,2.4444444444444446
CH Gayle,IK Pathan,65,36,38,180.55555555555557,1.7105263157894737
CH Gayle,Imran Tahir,45,26,26,173.0769230769231,1.7307692307692308
CH Gayle,Iqbal Abdulla,5,4,4,125.0,1.25
CH Gayle,J Botha,22,16,16,137.5,1.375
CH Gayle,J Theron,12,5,5,240.0,2.4
CH Gayle,J Yadav,16,20,20,80.0,0.8
CH Gayle,JA Morkel,19,16,20,118.75,0.95
CH Gayle,JC Archer,32,26,26,123.07692307692308,1.2307692307692308
CH Gayle,JD Unadkat,72,28,28,257.14285714285717,2.5714285714285716
CH Gayle,JDP Oram,8,8,9,100.0,0.8888888888888888
CH Gayle,JE Taylor,2,2,2,100.0,1.0
CH Gayle,JH Kallis,46,38,39,121.05263157894737,1.1794871794871795
CH Gayle,JJ Bumrah,37,48,53,77.08333333333334,0.6981132075471698
CH Gayle,JO Holder,34,19,20,178.94736842105263,1.7
CH Gayle,JP Behrendorff,24,9,9,266.66666666666663,2.6666666666666665
CH Gayle,JP Duminy,24,15,15,160.0,1.6
CH Gayle,JP Faulkner,17,15,16,113.33333333333333,1.0625
CH Gayle,JPR Scantlebury-Searles,6,3,3,200.0,2.0
CH Gayle,JR Hopes,4,2,2,200.0,2.0
CH Gayle,Jaskaran Singh,4,5,5,80.0,0.8
CH Gayle,K Gowtham,13,18,20,72.22222222222221,0.65
CH Gayle,K Rabada,10,10,10,100.0,1.0
CH Gayle,K Upadhyay,15,10,10,150.0,1.5
CH Gayle,KA Jamieson,20,6,6,333.33333333333337,3.3333333333333335
CH Gayle,KA Pollard,65,35,39,185.71428571428572,1.6666666666666667
CH Gayle,KC Cariappa,24,11,11,218.18181818181816,2.1818181818181817
CH Gayle,KH Pandya,13,8,11,162.5,1.1818181818181819
CH Gayle,KJ Abbott,22,6,7,366.66666666666663,3.142857142857143
CH Gayle,KK Ahmed,17,12,13,141.66666666666669,1.3076923076923077
CH Gayle,KP Appanna,4,2,2,200.0,2.0
CH Gayle,KP Pietersen,8,8,9,100.0,0.8888888888888888
CH Gayle,KV Sharma,1,4,4,25.0,0.25
CH Gayle,KW Richardson,1,2,2,50.0,0.5
CH Gayle,Kamran Khan,49,18,20,272.22222222222223,2.45
CH Gayle,Karanveer Singh,18,5,7,360.0,2.5714285714285716
CH Gayle,Kartik Tyagi,25,14,14,178.57142857142858,1.7857142857142858
CH Gayle,Kuldeep Yadav,7,3,3,233.33333333333334,2.3333333333333335
CH Gayle,L Ablish,19,5,5,380.0,3.8
CH Gayle,L Balaji,38,23,28,165.2173913043478,1.3571428571428572
CH Gayle,L Ngidi,2,5,5,40.0,0.4
CH Gayle,LH Ferguson,27,17,18,158.8235294117647,1.5
CH Gayle,LI Meriwala,1,1,1,100.0,1.0
CH Gayle,LJ Wright,16,13,14,123.07692307692308,1.1428571428571428
CH Gayle,LR Shukla,4,4,4,100.0,1.0
CH Gayle,LRPL Taylor,8,3,3,266.66666666666663,2.6666666666666665
CH Gayle,M Manhas,3,2,2,150.0,1.5
CH Gayle,M Markande,13,5,6,260.0,2.1666666666666665
CH Gayle,M Morkel,61,42,43,145.23809523809524,1.4186046511627908
CH Gayle,M Prasidh Krishna,14,10,10,140.0,1.4
CH Gayle,MC Henriques,23,8,9,287.5,2.5555555555555554
CH Gayle,MF Maharoof,5,3,3,166.66666666666669,1.6666666666666667
CH Gayle,MG Johnson,51,30,32,170.0,1.59375
CH Gayle,MG Neser,22,8,8,275.0,2.75
CH Gayle,MJ McClenaghan,51,41,45,124.39024390243902,1.1333333333333333
CH Gayle,MK Tiwary,13,5,5,260.0,2.6
CH Gayle,MM Ali,6,9,10,66.66666666666666,0.6
CH Gayle,MM Patel,53,27,27,196.2962962962963,1.962962962962963
CH Gayle,MM Sharma,18,21,21,85.71428571428571,0.8571428571428571
CH Gayle,MN Samuels,3,5,5,60.0,0.6
CH Gayle,MR Marsh,37,12,13,308.33333333333337,2.8461538461538463
CH Gayle,MS Gony,74,26,29,284.61538461538464,2.5517241379310347
CH Gayle,Mohammad Nabi,8,7,7,114.28571428571428,1.1428571428571428
CH Gayle,Mohammed Shami,28,18,18,155.55555555555557,1.5555555555555556
CH Gayle,Mohammed Siraj,59,24,25,245.83333333333334,2.36
CH Gayle,Mustafizur Rahman,8,9,10,88.88888888888889,0.8
CH Gayle,N Rana,0,1,1,0.0,0.0
CH Gayle,NB Singh,6,7,8,85.71428571428571,0.75
CH Gayle,NLTC Perera,3,3,3,100.0,1.0
CH Gayle,NM Coulter-Nile,28,29,30,96.55172413793103,0.9333333333333333
CH Gayle,Navdeep Saini,19,26,27,73.07692307692307,0.7037037037037037
CH Gayle,P Awana,64,37,39,172.97297297297297,1.641025641025641
CH Gayle,P Kumar,103,86,93,119.76744186046511,1.10752688172043
CH Gayle,P Negi,31,10,10,310.0,3.1
CH Gayle,P Parameswaran,36,7,7,514.2857142857143,5.142857142857143
CH Gayle,P Suyal,21,6,7,350.0,3.0
CH Gayle,PD Collingwood,4,4,5,100.0,0.8
CH Gayle,PJ Cummins,9,12,15,75.0,0.6
CH Gayle,PJ Sangwan,20,9,10,222.22222222222223,2.0
CH Gayle,PP Chawla,116,64,66,181.25,1.7575757575757576
CH Gayle,PP Ojha,22,9,9,244.44444444444446,2.4444444444444446
CH Gayle,PV Tambe,9,7,7,128.57142857142858,1.2857142857142858
CH Gayle,Pankaj Singh,7,8,8,87.5,0.875
CH Gayle,Parvez Rasool,2,5,5,40.0,0.4
CH Gayle,R Ashwin,53,64,64,82.8125,0.828125
CH Gayle,R Bhatia,64,32,33,200.0,1.9393939393939394
CH Gayle,R Dhawan,3,3,3,100.0,1.0
CH Gayle,R McLaren,61,30,31,203.33333333333331,1.967741935483871
CH Gayle,R Parag,1,2,2,50.0,0.5
CH Gayle,R Sharma,41,14,14,292.85714285714283,2.9285714285714284
CH Gayle,R Shukla,0,3,3,0.0,0.0
CH Gayle,R Tewatia,29,23,23,126.08695652173914,1.2608695652173914
CH Gayle,R Vinay Kumar,0,3,3,0.0,0.0
CH Gayle,RA Jadeja,42,17,18,247.05882352941177,2.3333333333333335
CH Gayle,RD Chahar,30,25,25,120.0,1.2
CH Gayle,RE van der Merwe,11,8,8,137.5,1.375
CH Gayle,RG Sharma,8,3,3,266.66666666666663,2.6666666666666665
CH Gayle,RJ Harris,26,16,16,162.5,1.625
CH Gayle,RN ten Doeschate,9,4,4,225.0,2.25
CH Gayle,RP Singh,37,28,29,132.14285714285714,1.2758620689655173
CH Gayle,RR Powar,13,13,13,100.0,1.0
CH Gayle,RS Bopara,30,10,12,300.0,2.5
CH Gayle,Rashid Khan,54,33,33,163.63636363636365,1.6363636363636365
CH Gayle,S Badree,10,10,11,100.0,0.9090909090909091
CH Gayle,S Dhawan,1,1,1,100.0,1.0
CH Gayle,S Gopal,15,7,7,214.28571428571428,2.142857142857143
CH Gayle,S Kaul,18,20,20,90.0,0.9
CH Gayle,S Kaushik,15,8,8,187.5,1.875
CH Gayle,S Lamichhane,22,8,8,275.0,2.75
CH Gayle,S Nadeem,1,2,2,50.0,0.5
CH Gayle,S Sandeep Warrier,10,6,6,166.66666666666669,1.6666666666666667
CH Gayle,S Sreesanth,16,7,7,228.57142857142856,2.2857142857142856
CH Gayle,SB Jakati,19,7,8,271.42857142857144,2.375
CH Gayle,SE Rutherford,3,4,4,75.0,0.75
CH Gayle,SJ Srivastava,8,11,12,72.72727272727273,0.6666666666666666
CH Gayle,SK Raina,67,38,43,176.3157894736842,1.558139534883721
CH Gayle,SK Trivedi,14,12,14,116.66666666666667,1.0
CH Gayle,SK Warne,20,16,17,125.0,1.1764705882352942
CH Gayle,SL Malinga,57,72,74,79.16666666666666,0.7702702702702703
CH Gayle,SM Curran,1,2,2,50.0,0.5
CH Gayle,SMSM Senanayake,11,12,12,91.66666666666666,0.9166666666666666
CH Gayle,SN Thakur,13,10,10,130.0,1.3
CH Gayle,SP Narine,65,69,69,94.20289855072464,0.9420289855072463
CH Gayle,SR Watson,21,27,28,77.77777777777779,0.75
CH Gayle,SW Tait,15,12,15,125.0,1.0
CH Gayle,Sandeep Sharma,64,62,63,103.2258064516129,1.0158730158730158
CH Gayle,Shakib Al Hasan,46,22,23,209.0909090909091,2.0
CH Gayle,Shivam Mavi,10,13,14,76.92307692307693,0.7142857142857143
CH Gayle,T Natarajan,2,4,4,50.0,0.5
CH Gayle,TA Boult,23,10,10,229.99999999999997,2.3
CH Gayle,TG Southee,41,21,23,195.23809523809524,1.7826086956521738
CH Gayle,TK Curran,6,1,1,600.0,6.0
CH Gayle,TL Suman,8,5,5,160.0,1.6
CH Gayle,TU Deshpande,25,6,7,416.6666666666667,3.5714285714285716
CH Gayle,UT Yadav,72,55,57,130.9090909090909,1.263157894736842
CH Gayle,V Pratap Singh,4,4,4,100.0,1.0
CH Gayle,V Shankar,1,3,3,33.33333333333333,0.3333333333333333
CH Gayle,VR Aaron,31,21,24,147.61904761904762,1.2916666666666667
CH Gayle,VS Malik,7,4,4,175.0,1.75
CH Gayle,Washington Sundar,32,16,16,200.0,2.0
CH Gayle,Y Venugopal Rao,8,4,4,200.0,2.0
CH Gayle,YA Abdulla,19,13,14,146.15384615384613,1.3571428571428572
CH Gayle,YK Pathan,68,53,57,128.30188679245282,1.1929824561403508
CH Gayle,YS Chahal,28,23,24,121.73913043478262,1.1666666666666667
CH Gayle,Z Khan,34,38,39,89.47368421052632,0.8717948717948718
CH Morris,A Nortje,0,2,2,0.0,0.0
CH Morris,A Zampa,20,10,10,200.0,2.0
CH Morris,AB Dinda,8,5,5,160.0,1.6
CH Morris,AD Mathews,6,3,3,200.0,2.0
CH Morris,AJ Tye,2,2,2,100.0,1.0
CH Morris,AR Patel,2,5,5,40.0,0.4
CH Morris,Anureet Singh,4,5,5,80.0,0.8
CH Morris,Arshdeep Singh,5,4,4,125.0,1.25
CH Morris,Avesh Khan,2,2,2,100.0,1.0
CH Morris,B Kumar,20,13,14,153.84615384615387,1.4285714285714286
CH Morris,B Laughlin,12,5,5,240.0,2.4
CH Morris,B Stanlake,1,1,1,100.0,1.0
CH Morris,BA Stokes,22,5,5,440.00000000000006,4.4
CH Morris,CJ Jordan,8,4,4,200.0,2.0
CH Morris,CR Woakes,12,7,7,171.42857142857142,1.7142857142857142
CH Morris,CV Varun,0,2,2,0.0,0.0
CH Morris,DJ Bravo,40,19,20,210.52631578947367,2.0
CH Morris,DL Chahar,0,2,2,0.0,0.0
CH Morris,DR Smith,19,4,4,475.0,4.75
CH Morris,DS Kulkarni,5,2,2,250.0,2.5
CH Morris,DW Steyn,0,1,1,0.0,0.0
CH Morris,GB Hogg,6,4,5,150.0,1.2
CH Morris,GJ Maxwell,1,2,2,50.0,0.5
CH Morris,HH Pandya,11,8,9,137.5,1.2222222222222223
CH Morris,HV Patel,11,11,12,100.0,0.9166666666666666
CH Morris,Harbhajan Singh,10,12,12,83.33333333333334,0.8333333333333334
CH Morris,Imran Tahir,7,3,3,233.33333333333334,2.3333333333333335
CH Morris,Iqbal Abdulla,7,5,5,140.0,1.4
CH Morris,JD Unadkat,5,2,2,250.0,2.5
CH Morris,JJ Bumrah,15,14,14,107.14285714285714,1.0714285714285714
CH Morris,JO Holder,2,2,2,100.0,1.0
CH Morris,JP Faulkner,13,4,4,325.0,3.25
CH Morris,K Rabada,15,7,7,214.28571428571428,2.142857142857143
CH Morris,KA Jamieson,7,3,5,233.33333333333334,1.4
CH Morris,KH Pandya,6,4,4,150.0,1.5
CH Morris,KK Ahmed,2,3,3,66.66666666666666,0.6666666666666666
CH Morris,KW Richardson,1,1,1,100.0,1.0
CH Morris,Kuldeep Yadav,5,4,4,125.0,1.25
CH Morris,M Morkel,2,2,2,100.0,1.0
CH Morris,MA Starc,1,3,3,33.33333333333333,0.3333333333333333
CH Morris,MG Johnson,8,6,6,133.33333333333331,1.3333333333333333
CH Morris,MJ McClenaghan,23,13,13,176.9230769230769,1.7692307692307692
CH Morris,MM Ali,0,2,2,0.0,0.0
CH Morris,MM Sharma,35,20,21,175.0,1.6666666666666667
CH Morris,MP Stoinis,1,1,1,100.0,1.0
CH Morris,Mohammed Shami,18,7,7,257.14285714285717,2.5714285714285716
CH Morris,Mohammed Siraj,12,7,8,171.42857142857142,1.5
CH Morris,Mujeeb Ur Rahman,4,4,4,100.0,1.0
CH Morris,NLTC Perera,21,5,5,420.0,4.2
CH Morris,NM Coulter-Nile,7,7,7,100.0,1.0
CH Morris,Navdeep Saini,0,3,3,0.0,0.0
CH Morris,P Kumar,23,8,8,287.5,2.875
CH Morris,PP Chawla,5,5,5,100.0,1.0
CH Morris,PP Ojha,1,3,4,33.33333333333333,0.25
CH Morris,PV Tambe,14,4,4,350.0,3.5
CH Morris,R Ashwin,10,9,11,111.11111111111111,0.9090909090909091
CH Morris,R Rampaul,4,2,2,200.0,2.0
CH Morris,R Vinay Kumar,9,8,8,112.5,1.125
CH Morris,RA Jadeja,2,3,3,66.66666666666666,0.6666666666666666
CH Morris,RP Meredith,1,3,3,33.33333333333333,0.3333333333333333
CH Morris,RP Singh,3,2,2,150.0,1.5
CH Morris,Rashid Khan,3,10,10,30.0,0.3
CH Morris,S Aravind,2,3,3,66.66666666666666,0.6666666666666666
CH Morris,S Kaul,13,6,6,216.66666666666666,2.1666666666666665
CH Morris,SL Malinga,2,4,4,50.0,0.5
CH Morris,SM Curran,2,3,3,66.66666666666666,0.6666666666666666
CH Morris,SP Narine,7,6,7,116.66666666666667,1.0
CH Morris,SR Watson,15,11,11,136.36363636363635,1.3636363636363635
CH Morris,Sandeep Sharma,21,12,12,175.0,1.75
