batter,bowler,runs,balls,dismissals,strike_rate,average
AA Chavan,UT Yadav,2,2,2,100.0,1.0
AA Jhunjhunwala,A Kumble,3,7,7,42.857142857142854,0.42857142857142855
AA Jhunjhunwala,A Mishra,9,9,10,100.0,0.9
AA Jhunjhunwala,A Symonds,0,3,3,0.0,0.0
AA Jhunjhunwala,AB Dinda,3,4,4,75.0,0.75
AA Jhunjhunwala,AB McDonald,1,2,2,50.0,0.5
AA Jhunjhunwala,AD Mathews,9,6,6,150.0,1.5
AA Jhunjhunwala,AG Murtaza,12,6,6,200.0,2.0
AA Jhunjhunwala,Azhar Mahmood,2,3,3,66.66666666666666,0.6666666666666666
AA Jhunjhunwala,BJ Hodge,7,4,4,175.0,1.75
AA Jhunjhunwala,BW Hilfenhaus,1,1,1,100.0,1.0
AA Jhunjhunwala,DE Bollinger,1,2,2,50.0,0.5
AA Jhunjhunwala,DP Nannes,15,8,9,187.5,1.6666666666666667
AA Jhunjhunwala,DS Kulkarni,18,13,13,138.46153846153845,1.3846153846153846
AA Jhunjhunwala,DW Steyn,0,1,1,0.0,0.0
AA Jhunjhunwala,Harbhajan Singh,5,6,7,83.33333333333334,0.7142857142857143
AA Jhunjhunwala,Harmeet Singh,0,1,1,0.0,0.0
AA Jhunjhunwala,I Sharma,0,1,1,0.0,0.0
AA Jhunjhunwala,JA Morkel,7,3,3,233.33333333333334,2.3333333333333335
AA Jhunjhunwala,JH Kallis,9,12,12,75.0,0.75
AA Jhunjhunwala,KA Pollard,0,2,2,0.0,0.0
AA Jhunjhunwala,M Kartik,19,16,17,118.75,1.1176470588235294
AA Jhunjhunwala,M Morkel,0,1,2,0.0,0.0
AA Jhunjhunwala,M Muralitharan,6,2,2,300.0,3.0
AA Jhunjhunwala,MF Maharoof,5,4,4,125.0,1.25
AA Jhunjhunwala,MM Patel,0,2,2,0.0,0.0
AA Jhunjhunwala,P Awana,2,3,3,66.66666666666666,0.6666666666666666
AA Jhunjhunwala,P Kumar,1,5,5,20.0,0.2
AA Jhunjhunwala,PJ Sangwan,9,13,14,69.23076923076923,0.6428571428571429
AA Jhunjhunwala,PP Chawla,6,6,6,100.0,1.0
AA Jhunjhunwala,PP Ojha,3,2,2,150.0,1.5
AA Jhunjhunwala,Pankaj Singh,5,4,4,125.0,1.25
AA Jhunjhunwala,R McLaren,0,1,1,0.0,0.0
AA Jhunjhunwala,R Sathish,2,3,3,66.66666666666666,0.6666666666666666
AA Jhunjhunwala,R Vinay Kumar,1,5,5,20.0,0.2
AA Jhunjhunwala,RJ Harris,4,2,2,200.0,2.0
AA Jhunjhunwala,RP Singh,4,3,3,133.33333333333331,1.3333333333333333
AA Jhunjhunwala,RR Powar,8,3,3,266.66666666666663,2.6666666666666665
AA Jhunjhunwala,S Ladda,16,14,15,114.28571428571428,1.0666666666666667
AA Jhunjhunwala,SE Bond,7,5,5,140.0,1.4
AA Jhunjhunwala,SJ Srivastava,0,3,3,0.0,0.0
AA Jhunjhunwala,SL Malinga,1,5,6,20.0,0.16666666666666666
AA Jhunjhunwala,ST Jayasuriya,8,7,7,114.28571428571428,1.1428571428571428
AA Jhunjhunwala,T Thushara,4,3,3,133.33333333333331,1.3333333333333333
AA Jhunjhunwala,UT Yadav,4,4,4,100.0,1.0
AA Kulkarni,MA Starc,4,4,4,100.0,1.0
AA Kulkarni,N Thushara,0,1,1,0.0,0.0
AA Kulkarni,VG Arora,5,3,3,166.66666666666669,1.6666666666666667
AA Noffke,AB Agarkar,2,6,8,33.33333333333333,0.25
AA Noffke,SC Ganguly,7,4,4,175.0,1.75
AB Agarkar,A Mishra,1,8,8,12.5,0.125
AB Agarkar,A Nehra,3,3,3,100.0,1.0
AB Agarkar,A Singh,3,2,2,150.0,1.5
AB Agarkar,AB McDonald,2,2,2,100.0,1.0
AB Agarkar,DE Bollinger,4,3,3,133.33333333333331,1.3333333333333333
AB Agarkar,DJ Bravo,4,4,4,100.0,1.0
AB Agarkar,DJ Thornely,2,5,5,40.0,0.4
AB Agarkar,DP Nannes,8,6,6,133.33333333333331,1.3333333333333333
AB Agarkar,DS Kulkarni,5,2,3,250.0,1.6666666666666667
AB Agarkar,DW Steyn,1,2,2,50.0,0.5
AB Agarkar,IK Pathan,1,2,2,50.0,0.5
AB Agarkar,J Botha,3,3,3,100.0,1.0
AB Agarkar,JH Kallis,2,2,2,100.0,1.0
AB Agarkar,Jaskaran Singh,1,1,1,100.0,1.0
AB Agarkar,Joginder Sharma,2,3,3,66.66666666666666,0.6666666666666666
AB Agarkar,KAJ Roach,7,4,4,175.0,1.75
AB Agarkar,Kamran Khan,1,1,1,100.0,1.0
AB Agarkar,M Muralitharan,6,4,4,150.0,1.5
AB Agarkar,MS Gony,2,2,2,100.0,1.0
AB Agarkar,P Amarnath,6,2,2,300.0,3.0
AB Agarkar,P Awana,4,3,3,133.33333333333331,1.3333333333333333
AB Agarkar,P Kumar,7,9,10,77.77777777777779,0.7
AB Agarkar,PD Collingwood,6,4,4,150.0,1.5
AB Agarkar,PJ Sangwan,17,8,8,212.5,2.125
AB Agarkar,R Ashwin,1,4,4,25.0,0.25
AB Agarkar,R Bhatia,15,7,7,214.28571428571428,2.142857142857143
AB Agarkar,R Vinay Kumar,3,2,3,150.0,1.0
AB Agarkar,RA Jadeja,3,6,6,50.0,0.5
AB Agarkar,RE van der Merwe,4,4,4,100.0,1.0
AB Agarkar,RP Singh,6,2,2,300.0,3.0
AB Agarkar,RR Raje,10,6,6,166.66666666666669,1.6666666666666667
AB Agarkar,SB Styris,1,1,1,100.0,1.0
AB Agarkar,SK Warne,4,5,5,80.0,0.8
AB Agarkar,SL Malinga,2,4,4,50.0,0.5
AB Agarkar,SR Watson,12,8,9,150.0,1.3333333333333333
AB Agarkar,ST Jayasuriya,1,5,6,20.0,0.16666666666666666
AB Agarkar,Sohail Tanvir,13,7,8,185.71428571428572,1.625
AB Agarkar,T Henderson,2,4,4,50.0,0.5
AB Agarkar,TM Dilshan,1,1,1,100.0,1.0
AB Agarkar,UT Yadav,3,3,3,100.0,1.0
AB Barath,A Symonds,1,1,1,100.0,1.0
AB Barath,DL Vettori,1,4,4,25.0,0.25
AB Barath,Harbhajan Singh,13,7,7,185.71428571428572,1.8571428571428572
AB Barath,JP Duminy,0,1,1,0.0,0.0
AB Barath,PD Collingwood,1,1,1,100.0,1.0
AB Barath,PP Ojha,1,5,5,20.0,0.2
AB Barath,R McLaren,3,7,7,42.857142857142854,0.42857142857142855
AB Barath,R Sathish,9,7,8,128.57142857142858,1.125
AB Barath,RG Sharma,5,4,4,125.0,1.25
