batter,bowling_team,runs,balls,dismissals,fours,sixes,strike_rate,average
Ankit Sharma,Royal Challengers Bengaluru,10,8,8,1,0,125.0,1.25
Ankit Soni,Mumbai Indians,7,2,2,0,1,350.0,3.5
Ankit Soni,Rising Pune Supergiants,0,1,1,0,0,0.0,0.0
Ankit Soni,Sunrisers Hyderabad,0,6,6,0,0,0.0,0.0
Anmolpreet Singh,Chennai Super Kings,16,15,15,2,1,106.66666666666667,1.0666666666666667
Anmolpreet Singh,Delhi Capitals,8,9,9,0,0,88.88888888888889,0.8888888888888888
Anmolpreet Singh,Gujarat Titans,5,4,4,1,0,125.0,1.25
Anmolpreet Singh,Lucknow Super Giants,67,53,54,10,1,126.41509433962264,1.2407407407407407
Anmolpreet Singh,Rajasthan Royals,43,34,35,6,1,126.47058823529412,1.2285714285714286
Anuj Rawat,Chennai Super Kings,60,41,42,5,3,146.34146341463415,1.4285714285714286
Anuj Rawat,Delhi Capitals,23,26,26,1,1,88.46153846153845,0.8846153846153846
Anuj Rawat,Gujarat Titans,23,15,16,1,1,153.33333333333334,1.4375
Anuj Rawat,Kolkata Knight Riders,4,11,11,0,0,36.36363636363637,0.36363636363636365
Anuj Rawat,Lucknow Super Giants,24,37,39,1,0,64.86486486486487,0.6153846153846154
Anuj Rawat,Mumbai Indians,72,51,53,3,6,141.1764705882353,1.3584905660377358
Anuj Rawat,Punjab Kings,32,34,35,3,1,94.11764705882352,0.9142857142857143
Anuj Rawat,Rajasthan Royals,55,36,37,7,2,152.77777777777777,1.4864864864864864
Anuj Rawat,Sunrisers Hyderabad,25,16,17,5,0,156.25,1.4705882352941178
Anureet Singh,Chennai Super Kings,10,20,20,0,0,50.0,0.5
Anureet Singh,Delhi Capitals,8,3,3,0,1,266.66666666666663,2.6666666666666665
Anureet Singh,Kolkata Knight Riders,3,5,5,0,0,60.0,0.6
Anureet Singh,Rajasthan Royals,0,3,3,0,0,0.0,0.0
Anureet Singh,Royal Challengers Bengaluru,0,2,2,0,0,0.0,0.0
Anureet Singh,Sunrisers Hyderabad,15,14,14,2,0,107.14285714285714,1.0714285714285714
Arjun Tendulkar,Gujarat Titans,13,9,9,0,1,144.44444444444443,1.4444444444444444
Arshad Khan,Chennai Super Kings,23,20,22,0,3,114.99999999999999,1.0454545454545454
Arshad Khan,Delhi Capitals,78,49,51,5,5,159.18367346938774,1.5294117647058822
Arshad Khan,Lucknow Super Giants,1,3,5,0,0,33.33333333333333,0.2
Arshad Khan,Mumbai Indians,1,2,2,0,0,50.0,0.5
Arshad Khan,Punjab Kings,1,1,1,0,0,100.0,1.0
Arshad Khan,Royal Challengers Bengaluru,15,9,9,0,1,166.66666666666669,1.6666666666666667
Arshad Khan (2),Kolkata Knight Riders,5,4,4,1,0,125.0,1.25
Arshdeep Singh,Delhi Capitals,11,20,20,2,0,55.00000000000001,0.55
Arshdeep Singh,Gujarat Titans,10,5,5,1,0,200.0,2.0
Arshdeep Singh,Kolkata Knight Riders,2,3,3,0,0,66.66666666666666,0.6666666666666666
Arshdeep Singh,Lucknow Super Giants,2,4,5,0,0,50.0,0.4
Arshdeep Singh,Rajasthan Royals,1,5,5,0,0,20.0,0.2
Arshdeep Singh,Royal Challengers Bengaluru,4,3,4,1,0,133.33333333333331,1.0
Arshdeep Singh,Sunrisers Hyderabad,1,6,6,0,0,16.666666666666664,0.16666666666666666
Ashok Sharma,Rajasthan Royals,0,1,1,0,0,0.0,0.0
Ashutosh Sharma,Chennai Super Kings,23,21,21,1,2,109.52380952380953,1.0952380952380953
Ashutosh Sharma,Gujarat Titans,71,44,47,5,4,161.36363636363635,1.5106382978723405
Ashutosh Sharma,Kolkata Knight Riders,7,6,6,0,1,116.66666666666667,1.1666666666666667
Ashutosh Sharma,Lucknow Super Giants,66,31,31,5,5,212.9032258064516,2.129032258064516
Ashutosh Sharma,Mumbai Indians,96,58,59,5,8,165.51724137931035,1.6271186440677967
Ashutosh Sharma,Rajasthan Royals,63,38,44,4,4,165.78947368421052,1.4318181818181819
Ashutosh Sharma,Royal Challengers Bengaluru,10,8,8,0,1,125.0,1.25
Ashutosh Sharma,Sunrisers Hyderabad,76,44,50,5,5,172.72727272727272,1.52
Atharva Taide,Chennai Super Kings,13,17,17,0,0,76.47058823529412,0.7647058823529411
Atharva Taide,Delhi Capitals,55,42,43,5,2,130.95238095238096,1.2790697674418605
Atharva Taide,Lucknow Super Giants,79,48,54,11,2,164.58333333333331,1.462962962962963
Atharva Taide,Mumbai Indians,29,17,19,3,1,170.58823529411765,1.5263157894736843
Atharva Taide,Rajasthan Royals,34,24,26,5,1,141.66666666666669,1.3076923076923077
Atharva Taide,Royal Challengers Bengaluru,4,2,2,1,0,200.0,2.0
Atharva Taide,Sunrisers Hyderabad,46,27,27,5,2,170.37037037037038,1.7037037037037037
Auqib Nabi,Chennai Super Kings,4,2,2,1,0,200.0,2.0
Avesh Khan,Delhi Capitals,7,3,3,1,0,233.33333333333334,2.3333333333333335
Avesh Khan,Gujarat Titans,16,5,6,1,2,320.0,2.6666666666666665
Avesh Khan,Kolkata Knight Riders,6,6,6,1,0,100.0,1.0
Avesh Khan,Mumbai Indians,2,2,3,0,0,100.0,0.6666666666666666
Avesh Khan,Punjab Kings,28,20,21,4,1,140.0,1.3333333333333333
Avesh Khan,Rajasthan Royals,8,4,4,0,1,200.0,2.0
Avesh Khan,Royal Challengers Bengaluru,1,3,3,0,0,33.33333333333333,0.3333333333333333
Azhar Mahmood,Chennai Super Kings,35,26,27,2,2,134.6153846153846,1.2962962962962963
Azhar Mahmood,Delhi Capitals,54,58,59,6,1,93.10344827586206,0.9152542372881356
Azhar Mahmood,Kolkata Knight Riders,2,8,8,0,0,25.0,0.25
Azhar Mahmood,Mumbai Indians,99,64,67,9,5,154.6875,1.4776119402985075
Azhar Mahmood,Other,0,4,4,0,0,0.0,0.0
Azhar Mahmood,Rajasthan Royals,53,51,53,6,1,103.921568627451,1.0
Azhar Mahmood,Royal Challengers Bengaluru,96,59,60,11,3,162.71186440677968,1.6
Azhar Mahmood,Sunrisers Hyderabad,49,33,33,5,1,148.4848484848485,1.4848484848484849
Azmatullah Omarzai,Chennai Super Kings,11,10,11,1,0,110.00000000000001,1.0
Azmatullah Omarzai,Delhi Capitals,2,5,5,0,0,40.0,0.4
Azmatullah Omarzai,Gujarat Titans,16,15,15,2,1,106.66666666666667,1.0666666666666667
Azmatullah Omarzai,Mumbai Indians,17,11,11,1,1,154.54545454545453,1.5454545454545454
Azmatullah Omarzai,Punjab Kings,13,10,10,0,1,130.0,1.3
Azmatullah Omarzai,Rajasthan Royals,21,9,11,3,1,233.33333333333334,1.9090909090909092
Azmatullah Omarzai,Royal Challengers Bengaluru,19,14,14,1,1,135.71428571428572,1.3571428571428572
B Akhil,Chennai Super Kings,8,12,12,1,0,66.66666666666666,0.6666666666666666
B Akhil,Delhi Capitals,24,16,17,0,2,150.0,1.411764705882353
B Akhil,Kolkata Knight Riders,0,2,2,0,0,0.0,0.0
B Akhil,Mumbai Indians,8,9,10,1,0,88.88888888888889,0.8
B Akhil,Rajasthan Royals,9,9,9,1,0,100.0,1.0
B Akhil,Sunrisers Hyderabad,27,7,7,2,3,385.7142857142857,3.857142857142857
B Chipli,Chennai Super Kings,35,35,36,1,1,100.0,0.9722222222222222
B Chipli,Delhi Capitals,33,32,33,3,1,103.125,1.0
B Chipli,Kolkata Knight Riders,60,47,48,8,1,127.65957446808511,1.25
B Chipli,Mumbai Indians,18,28,29,2,0,64.28571428571429,0.6206896551724138
B Chipli,Other,43,46,47,4,1,93.47826086956522,0.9148936170212766
B Chipli,Punjab Kings,14,12,12,2,0,116.66666666666667,1.1666666666666667
B Chipli,Rajasthan Royals,6,9,9,1,0,66.66666666666666,0.6666666666666666
B Chipli,Royal Challengers Bengaluru,61,35,35,5,3,174.28571428571428,1.7428571428571429
B Chipli,Sunrisers Hyderabad,10,7,7,2,0,142.85714285714286,1.4285714285714286
