batter,season,runs_batter,balls_faced,is_wicket,is_four,is_six,strike_rate,batting_average
HV Patel,2021,4,3,0,0,0,133.33333333333331,4.0
Harbhajan Singh,2009,48,36,6,2,3,133.33333333333331,8.0
Harbhajan Singh,2011,103,71,4,9,6,145.07042253521126,25.75
Harbhajan Singh,2012,108,80,9,14,3,135.0,12.0
Harbhajan Singh,2013,116,79,5,12,5,146.8354430379747,23.2
Harbhajan Singh,2014,28,25,6,2,2,112.00000000000001,4.666666666666667
Harbhajan Singh,2015,117,73,7,9,9,160.27397260273972,16.714285714285715
Harbhajan Singh,2016,92,84,3,11,2,109.52380952380953,30.666666666666668
Harbhajan Singh,2017,16,16,2,0,1,100.0,8.0
Harbhajan Singh,2018,29,36,2,3,1,80.55555555555556,14.5
Harbhajan Singh,2007/08,30,17,2,1,3,176.47058823529412,15.0
Harbhajan Singh,2009,36,17,3,4,2,211.76470588235296,12.0
Harbhajan Singh,2009/10,105,63,6,12,5,166.66666666666669,17.5
Harbhajan Singh,2019,1,3,1,0,0,33.33333333333333,1.0
Harbhajan Singh,2021,4,4,0,0,0,100.0,4.0
Harmeet Singh,2012,15,7,1,3,0,214.28571428571428,15.0
Harmeet Singh,2013,3,4,0,0,0,75.0,3.0
Harmeet Singh,2009/10,0,1,1,0,0,0.0,0.0
Harpreet Brar,2021,64,58,0,3,2,110.34482758620689,64.0
Harpreet Brar,2022,22,25,3,1,2,88.0,7.333333333333333
Harpreet Brar,2023,52,41,7,5,2,126.82926829268293,7.428571428571429
Harpreet Brar,2024,75,54,2,8,2,138.88888888888889,37.5
Harpreet Brar,2025,11,13,1,0,1,84.61538461538461,11.0
Harpreet Brar,2019,20,12,0,2,1,166.66666666666669,20.0
Harpreet Singh,2011,14,20,1,0,0,70.0,14.0
Harpreet Singh,2012,6,6,1,0,0,100.0,6.0
Harpreet Singh,2023,76,59,2,8,3,128.81355932203388,38.0
Harpreet Singh,2024,27,34,2,2,0,79.41176470588235,13.5
Harsh Dubey,2026,13,9,2,2,0,144.44444444444443,6.5
Harshit Rana,2022,2,2,1,0,0,100.0,2.0
Harshit Rana,2023,0,1,1,0,0,0.0,0.0
Harshit Rana,2025,57,53,5,5,3,107.54716981132076,11.4
I Malhotra,2011,7,4,0,1,0,175.0,7.0
I Sharma,2009,6,3,0,1,0,200.0,6.0
I Sharma,2011,1,1,0,0,0,100.0,1.0
I Sharma,2017,8,12,2,1,0,66.66666666666666,4.0
I Sharma,2023,1,1,0,0,0,100.0,1.0
I Sharma,2024,1,7,0,0,0,14.285714285714285,1.0
I Sharma,2007/08,11,11,1,1,0,100.0,11.0
I Sharma,2009,10,10,2,0,1,100.0,5.0
I Sharma,2009/10,6,17,2,0,0,35.294117647058826,3.0
I Sharma,2011,3,4,0,0,0,75.0,3.0
I Sharma,2019,10,3,0,1,1,333.33333333333337,10.0
I Udana,2020/21,15,11,3,1,1,136.36363636363635,5.0
IC Pandey,2013,0,2,1,0,0,0.0,0.0
IK Pathan,2009,105,89,6,9,3,117.97752808988764,17.5
IK Pathan,2011,100,87,3,9,3,114.94252873563218,33.333333333333336
IK Pathan,2012,176,126,7,14,6,139.68253968253967,25.142857142857142
IK Pathan,2013,153,156,8,10,4,98.07692307692307,19.125
IK Pathan,2014,55,54,4,5,0,101.85185185185186,13.75
IK Pathan,2016,11,13,2,0,0,84.61538461538461,5.5
IK Pathan,2017,2,3,1,0,0,66.66666666666666,2.0
IK Pathan,2007/08,131,116,5,9,6,112.93103448275863,26.2
IK Pathan,2009,91,69,5,8,3,131.8840579710145,18.2
IK Pathan,2009/10,276,186,8,21,10,148.38709677419354,34.5
IK Pathan,2011,50,51,4,3,3,98.0392156862745,12.5
IR Jaggi,2012,15,21,2,0,0,71.42857142857143,7.5
IR Jaggi,2017,33,39,1,3,0,84.61538461538461,33.0
IR Jaggi,2011,28,37,2,3,0,75.67567567567568,14.0
IS Sodhi,2018,1,6,1,0,0,16.666666666666664,1.0
IS Sodhi,2019,6,11,1,0,0,54.54545454545454,6.0
Imran Tahir,2014,8,10,2,2,0,80.0,4.0
Imran Tahir,2015,5,6,1,0,0,83.33333333333334,5.0
Imran Tahir,2016,5,7,1,1,0,71.42857142857143,5.0
Imran Tahir,2017,0,2,0,0,0,0.0,0.0
Imran Tahir,2018,2,2,0,0,0,100.0,2.0
Imran Tahir,2020/21,13,10,0,2,0,130.0,13.0
Iqbal Abdulla,2012,2,3,0,0,0,66.66666666666666,2.0
Iqbal Abdulla,2013,8,14,0,0,0,57.14285714285714,8.0
Iqbal Abdulla,2015,20,18,1,4,0,111.11111111111111,20.0
Iqbal Abdulla,2016,37,27,0,4,1,137.03703703703704,37.0
Iqbal Abdulla,2017,5,7,0,0,0,71.42857142857143,5.0
Iqbal Abdulla,2007/08,1,2,0,0,0,50.0,1.0
Iqbal Abdulla,2009/10,0,1,0,0,0,0.0,0.0
Iqbal Abdulla,2011,15,12,0,1,0,125.0,15.0
Ishan Kishan,2016,42,41,4,5,0,102.4390243902439,10.5
Ishan Kishan,2017,277,206,10,29,13,134.46601941747574,27.7
Ishan Kishan,2018,275,184,12,22,17,149.45652173913044,22.916666666666668
Ishan Kishan,2019,29,34,2,4,0,85.29411764705883,14.5
Ishan Kishan,2021,199,134,6,19,9,148.50746268656715,33.166666666666664
Ishan Kishan,2022,418,348,13,45,11,120.11494252873563,32.15384615384615
Ishan Kishan,2023,454,318,15,54,18,142.76729559748426,30.266666666666666
Ishan Kishan,2024,320,215,14,35,16,148.8372093023256,22.857142857142858
Ishan Kishan,2025,354,232,10,33,15,152.58620689655174,35.4
Ishan Kishan,2026,213,112,5,22,12,190.17857142857142,42.6
Ishan Kishan,2019,72,66,3,4,4,109.09090909090908,24.0
Ishan Kishan,2020/21,516,354,9,36,30,145.76271186440678,57.333333333333336
Ishan Kishan,2021,42,46,3,2,1,91.30434782608695,14.0
J Arunkumar,2007/08,23,23,3,5,0,100.0,7.666666666666667
J Botha,2009,2,3,1,0,0,66.66666666666666,2.0
J Botha,2011,98,100,6,5,1,98.0,16.333333333333332
J Botha,2012,58,54,4,4,1,107.40740740740742,14.5
J Botha,2013,43,52,6,5,1,82.6923076923077,7.166666666666667
J Botha,2015,31,15,3,5,1,206.66666666666669,10.333333333333334
J Botha,2009,45,37,2,5,0,121.62162162162163,22.5
J Botha,2011,132,98,0,15,1,134.6938775510204,132.0
J Fraser-McGurk,2024,330,141,8,32,28,234.04255319148936,41.25
J Fraser-McGurk,2025,55,52,6,7,2,105.76923076923077,9.166666666666666
J Overton,2025,15,7,0,1,1,214.28571428571428,15.0
J Overton,2026,87,58,2,7,4,150.0,43.5
J Suchith,2015,48,32,1,4,2,150.0,48.0
J Suchith,2021,14,6,0,2,1,233.33333333333334,14.0
J Suchith,2022,2,8,2,0,0,25.0,1.0
J Suchith,2019,6,15,1,0,0,40.0,6.0
J Syed Mohammad,2011,2,2,0,0,0,100.0,2.0
J Syed Mohammad,2012,4,1,0,1,0,400.0,4.0
J Syed Mohammad,2013,10,13,2,1,0,76.92307692307693,5.0
J Syed Mohammad,2011,13,10,0,2,0,130.0,13.0
J Theron,2012,7,6,0,1,0,116.66666666666667,7.0
J Theron,2015,1,1,0,0,0,100.0,1.0
J Theron,2009/10,2,5,2,0,0,40.0,1.0
J Yadav,2016,6,10,0,0,0,60.0,6.0
J Yadav,2021,34,26,2,2,1,130.76923076923077,17.0
JA Morkel,2009,38,26,3,4,1,146.15384615384613,12.666666666666666
JA Morkel,2011,102,73,2,6,6,139.72602739726028,51.0
JA Morkel,2012,107,68,7,5,6,157.35294117647058,15.285714285714286
JA Morkel,2013,46,37,3,2,3,124.32432432432432,15.333333333333334
JA Morkel,2014,45,41,3,1,3,109.75609756097562,15.0
JA Morkel,2015,86,65,1,9,2,132.3076923076923,86.0
JA Morkel,2016,16,9,1,0,2,177.77777777777777,16.0
JA Morkel,2007/08,241,163,8,18,14,147.8527607361963,30.125
JA Morkel,2009,59,44,2,4,3,134.0909090909091,29.5
JA Morkel,2009/10,199,132,7,10,13,150.75757575757575,28.428571428571427
JA Morkel,2011,36,29,3,2,2,124.13793103448276,12.0
JA Richardson,2024,2,2,1,0,0,100.0,2.0
JA Richardson,2021,15,24,2,2,0,62.5,7.5
JC Archer,2018,15,21,5,2,0,71.42857142857143,3.0
JC Archer,2019,39,25,1,2,2,156.0,39.0
JC Archer,2023,4,4,0,0,0,100.0,4.0
JC Archer,2025,63,50,5,3,4,126.0,12.6
JC Archer,2026,3,7,1,0,0,42.857142857142854,3.0
JC Archer,2019,28,15,1,2,2,186.66666666666666,28.0
JC Archer,2020/21,113,63,6,5,10,179.36507936507937,18.833333333333332
JC Buttler,2016,255,184,11,23,11,138.58695652173913,23.181818181818183
JC Buttler,2017,273,179,9,27,15,152.51396648044692,30.333333333333332
JC Buttler,2018,548,353,11,52,21,155.24079320113316,49.81818181818182
JC Buttler,2019,288,188,6,37,12,153.19148936170214,48.0
JC Buttler,2021,178,111,4,17,11,160.36036036036037,44.5
JC Buttler,2022,863,579,15,84,45,149.05008635578582,57.53333333333333
JC Buttler,2023,392,282,15,42,14,139.00709219858157,26.133333333333333
JC Buttler,2024,359,255,10,36,12,140.7843137254902,35.9
JC Buttler,2025,538,330,10,52,24,163.03030303030303,53.8
JC Buttler,2026,176,111,4,22,7,158.55855855855856,44.0
JC Buttler,2019,23,17,1,1,2,135.29411764705884,23.0
JC Buttler,2020/21,328,227,11,27,16,144.49339207048456,29.818181818181817
JC Buttler,2021,76,55,3,10,2,138.1818181818182,25.333333333333332
JD Ryder,2009,24,25,2,3,0,96.0,12.0
JD Ryder,2011,138,105,7,16,5,131.42857142857142,19.714285714285715
JD Ryder,2012,256,212,11,23,8,120.75471698113208,23.272727272727273
JD Ryder,2009,32,24,3,6,0,133.33333333333331,10.666666666666666
JD Ryder,2011,154,92,6,21,6,167.3913043478261,25.666666666666668
JD Unadkat,2013,2,2,0,0,0,100.0,2.0
JD Unadkat,2014,1,6,1,0,0,16.666666666666664,1.0
JD Unadkat,2017,2,5,0,0,0,40.0,2.0
JD Unadkat,2018,49,38,5,6,1,128.94736842105263,9.8
JD Unadkat,2019,1,2,1,0,0,50.0,1.0
JD Unadkat,2021,6,5,1,1,0,120.0,6.0
JD Unadkat,2022,59,37,1,4,3,159.45945945945945,59.0
JD Unadkat,2023,9,7,1,1,0,128.57142857142858,9.0
JD Unadkat,2024,24,26,2,2,1,92.3076923076923,12.0
JD Unadkat,2026,4,3,0,0,0,133.33333333333331,4.0
JD Unadkat,2019,0,1,0,0,0,0.0,0.0
JD Unadkat,2020/21,9,13,1,0,0,69.23076923076923,9.0
JD Unadkat,2021,35,24,1,2,2,145.83333333333331,35.0
JDP Oram,2009,54,59,3,4,2,91.52542372881356,18.0
JDP Oram,2011,0,3,1,0,0,0.0,0.0
JDP Oram,2007/08,18,12,1,1,1,150.0,18.0
JDP Oram,2009,34,34,3,1,2,100.0,11.333333333333334
JDS Neesham,2014,42,46,3,3,1,91.30434782608695,14.0
JDS Neesham,2021,0,2,2,0,0,0.0,0.0
JDS Neesham,2022,31,27,1,3,0,114.81481481481481,31.0
JDS Neesham,2020/21,19,18,2,0,1,105.55555555555556,9.5
JE Root,2023,10,15,1,1,0,66.66666666666666,10.0
JE Taylor,2011,3,3,0,0,0,100.0,3.0
JEC Franklin,2011,101,70,1,9,2,144.28571428571428,101.0
JEC Franklin,2012,220,223,9,15,7,98.65470852017937,24.444444444444443
JEC Franklin,2011,6,8,1,1,0,75.0,6.0
JG Bethell,2025,67,39,2,9,3,171.7948717948718,33.5
JH Kallis,2009,173,165,6,17,4,104.84848484848486,28.833333333333332
JH Kallis,2011,180,162,7,19,3,111.11111111111111,25.714285714285715
JH Kallis,2012,409,384,17,34,10,106.51041666666667,24.058823529411764
JH Kallis,2013,311,322,15,35,3,96.58385093167702,20.733333333333334
JH Kallis,2014,151,129,6,13,4,117.05426356589147,25.166666666666668
