bowler,season,runs_bowler,bowler_wicket,ball_no,overs,bowling_average,economy,strike_rate
Arshdeep Singh,2021,560,27,421,70.16666666666667,20.74074074074074,7.980997624703087,15.592592592592593
Arshdeep Singh,2022,385,10,317,52.833333333333336,38.5,7.287066246056782,31.7
Arshdeep Singh,2023,493,17,324,54.0,29.0,9.12962962962963,19.058823529411764
Arshdeep Singh,2024,505,19,326,54.333333333333336,26.57894736842105,9.294478527607362,17.157894736842106
Arshdeep Singh,2025,518,21,367,61.166666666666664,24.666666666666668,8.468664850136241,17.476190476190474
Arshdeep Singh,2026,171,5,126,21.0,34.2,8.142857142857142,25.2
Ashok Sharma,2026,145,4,91,15.166666666666666,36.25,9.56043956043956,22.75
Ashwani Kumar,2025,232,11,132,22.0,21.09090909090909,10.545454545454545,12.0
Atharva Taide,2024,4,0,1,0.16666666666666666,4.0,24.0,1.0
Auqib Nabi,2026,17,0,13,2.1666666666666665,17.0,7.846153846153847,13.0
Avesh Khan,2017,23,1,24,4.0,23.0,5.75,24.0
Avesh Khan,2018,204,4,117,19.5,51.0,10.461538461538462,29.25
Avesh Khan,2019,30,0,19,3.1666666666666665,30.0,9.473684210526317,19.0
Avesh Khan,2021,492,24,408,68.0,20.5,7.235294117647059,17.0
Avesh Khan,2022,416,19,300,50.0,21.894736842105264,8.32,15.789473684210526
Avesh Khan,2023,283,8,176,29.333333333333332,35.375,9.647727272727273,22.0
Avesh Khan,2024,526,19,346,57.666666666666664,27.68421052631579,9.121387283236995,18.210526315789473
Avesh Khan,2025,487,13,294,49.0,37.46153846153846,9.938775510204081,22.615384615384617
Avesh Khan,2026,127,5,86,14.333333333333334,25.4,8.86046511627907,17.2
Azhar Mahmood,2012,329,14,265,44.166666666666664,23.5,7.4490566037735855,18.928571428571427
Azhar Mahmood,2013,330,15,267,44.5,22.0,7.415730337078652,17.8
Azhar Mahmood,2015,41,0,20,3.3333333333333335,41.0,12.299999999999999,20.0
Azmatullah Omarzai,2024,186,4,131,21.833333333333332,46.5,8.51908396946565,32.75
Azmatullah Omarzai,2025,279,8,169,28.166666666666668,34.875,9.905325443786982,21.125
B Akhil,2008,134,2,105,17.5,67.0,7.6571428571428575,52.5
B Akhil,2009,80,4,69,11.5,20.0,6.956521739130435,17.25
B Akhil,2010,6,0,6,1.0,6.0,6.0,6.0
B Akhil,2011,22,0,13,2.1666666666666665,22.0,10.153846153846155,13.0
B Chipli,2011,20,0,6,1.0,20.0,20.0,6.0
B Geeves,2008,91,1,49,8.166666666666666,91.0,11.142857142857144,49.0
B Kumar,2011,67,3,67,11.166666666666666,22.333333333333332,6.0,22.333333333333332
B Kumar,2012,281,8,240,40.0,35.125,7.025,30.0
B Kumar,2013,371,13,359,59.833333333333336,28.53846153846154,6.2005571030640665,27.615384615384617
B Kumar,2014,354,20,327,54.5,17.7,6.495412844036697,16.35
B Kumar,2015,407,18,323,53.833333333333336,22.61111111111111,7.560371517027863,17.944444444444443
B Kumar,2016,490,23,414,69.0,21.304347826086957,7.101449275362318,18.0
B Kumar,2017,369,26,324,54.0,14.192307692307692,6.833333333333333,12.461538461538462
B Kumar,2018,354,9,286,47.666666666666664,39.333333333333336,7.426573426573427,31.77777777777778
B Kumar,2019,461,13,367,61.166666666666664,35.46153846153846,7.536784741144414,28.23076923076923
B Kumar,2021,434,9,347,57.833333333333336,48.22222222222222,7.5043227665706045,38.55555555555556
B Kumar,2022,383,12,330,55.0,31.916666666666668,6.963636363636364,27.5
B Kumar,2023,425,16,319,53.166666666666664,26.5625,7.993730407523511,19.9375
B Kumar,2024,533,11,357,59.5,48.45454545454545,8.957983193277311,32.45454545454545
B Kumar,2025,483,17,318,53.0,28.41176470588235,9.11320754716981,18.705882352941178
B Kumar,2026,174,7,127,21.166666666666668,24.857142857142858,8.220472440944881,18.142857142857142
B Laughlin,2013,71,1,45,7.5,71.0,9.466666666666667,45.0
B Laughlin,2018,211,9,134,22.333333333333332,23.444444444444443,9.447761194029852,14.88888888888889
B Lee,2008,112,4,99,16.5,28.0,6.787878787878788,24.75
B Lee,2009,111,5,133,22.166666666666668,22.2,5.007518796992481,26.6
B Lee,2010,149,0,91,15.166666666666666,149.0,9.824175824175825,91.0
B Lee,2011,338,5,284,47.333333333333336,67.6,7.140845070422535,56.8
B Lee,2012,299,7,234,39.0,42.714285714285715,7.666666666666667,33.42857142857143
B Lee,2013,86,4,75,12.5,21.5,6.88,18.75
B Muzarabani,2026,75,4,44,7.333333333333333,18.75,10.227272727272728,11.0
B Stanlake,2017,70,2,50,8.333333333333334,35.0,8.399999999999999,25.0
B Stanlake,2018,130,5,100,16.666666666666668,26.0,7.8,20.0
BA Bhatt,2011,229,9,172,28.666666666666668,25.444444444444443,7.988372093023256,19.11111111111111
BA Bhatt,2012,136,2,100,16.666666666666668,68.0,8.16,50.0
BA Bhatt,2013,32,1,31,5.166666666666667,32.0,6.193548387096774,31.0
BA Stokes,2017,316,12,274,45.666666666666664,26.333333333333332,6.91970802919708,22.833333333333332
BA Stokes,2018,303,8,232,38.666666666666664,37.875,7.836206896551724,29.0
BA Stokes,2019,189,6,109,18.166666666666668,31.5,10.40366972477064,18.166666666666668
BA Stokes,2021,166,2,102,17.0,83.0,9.764705882352942,51.0
BA Stokes,2023,18,0,6,1.0,18.0,18.0,6.0
BAW Mendis,2008,24,1,24,4.0,24.0,6.0,24.0
BAW Mendis,2009,135,3,102,17.0,45.0,7.9411764705882355,34.0
BAW Mendis,2010,66,2,50,8.333333333333334,33.0,7.919999999999999,25.0
BAW Mendis,2013,78,2,72,12.0,39.0,6.5,36.0
BB Sran,2015,35,0,20,3.3333333333333335,35.0,10.5,20.0
BB Sran,2016,413,14,312,52.0,29.5,7.9423076923076925,22.285714285714285
BB Sran,2017,29,0,13,2.1666666666666665,29.0,13.384615384615385,13.0
BB Sran,2018,229,4,146,24.333333333333332,57.25,9.41095890410959,36.5
BB Sran,2019,51,0,25,4.166666666666667,51.0,12.239999999999998,25.0
BCJ Cutting,2014,31,1,24,4.0,31.0,7.75,24.0
BCJ Cutting,2016,80,5,68,11.333333333333334,16.0,7.0588235294117645,13.6
BCJ Cutting,2017,123,1,79,13.166666666666666,123.0,9.341772151898734,79.0
BCJ Cutting,2018,168,2,105,17.5,84.0,9.6,52.5
BCJ Cutting,2019,27,1,12,2.0,27.0,13.5,12.0
BE Hendricks,2014,126,4,75,12.5,31.5,10.08,18.75
BE Hendricks,2015,109,5,82,13.666666666666666,21.8,7.975609756097561,16.4
BJ Hodge,2009,161,7,123,20.5,23.0,7.853658536585366,17.571428571428573
BJ Hodge,2010,41,2,30,5.0,20.5,8.2,15.0
BJ Hodge,2011,77,7,67,11.166666666666666,11.0,6.895522388059702,9.571428571428571
BJ Hodge,2012,21,1,12,2.0,21.0,10.5,12.0
BJ Hodge,2013,3,0,6,1.0,3.0,3.0,6.0
BJ Rohrer,2013,12,0,7,1.1666666666666667,12.0,10.285714285714285,7.0
BMAJ Mendis,2013,36,1,30,5.0,36.0,7.2,30.0
BW Hilfenhaus,2012,233,14,215,35.833333333333336,16.642857142857142,6.502325581395349,15.357142857142858
BW Hilfenhaus,2014,246,8,175,29.166666666666668,30.75,8.434285714285714,21.875
Basil Thampi,2017,424,11,278,46.333333333333336,38.54545454545455,9.151079136690647,25.272727272727273
Basil Thampi,2018,114,5,62,10.333333333333334,22.8,11.032258064516128,12.4
Basil Thampi,2019,110,0,73,12.166666666666666,110.0,9.04109589041096,73.0
Basil Thampi,2021,46,1,24,4.0,46.0,11.5,24.0
Basil Thampi,2022,152,5,102,17.0,30.4,8.941176470588236,20.4
Bipul Sharma,2010,94,3,60,10.0,31.333333333333332,9.4,20.0
