bowler,batting_team,runs_conceded,wickets,balls,overs,economy,average,strike_rate
BJ Hodge,Sunrisers Hyderabad,53,3,42,7.0,7.571428571428571,17.666666666666668,14.0
BJ Rohrer,Rajasthan Royals,12,0,7,1.1666666666666667,10.285714285714285,12.0,7.0
BMAJ Mendis,Mumbai Indians,20,0,12,2.0,10.0,20.0,12.0
BMAJ Mendis,Sunrisers Hyderabad,16,1,18,3.0,5.333333333333333,16.0,18.0
BW Hilfenhaus,Delhi Capitals,87,6,83,13.833333333333334,6.289156626506024,14.5,13.833333333333334
BW Hilfenhaus,Kolkata Knight Riders,115,3,82,13.666666666666666,8.414634146341463,38.333333333333336,27.333333333333332
BW Hilfenhaus,Mumbai Indians,118,5,77,12.833333333333334,9.194805194805195,23.6,15.4
BW Hilfenhaus,Punjab Kings,56,2,50,8.333333333333334,6.72,28.0,25.0
BW Hilfenhaus,Rajasthan Royals,40,3,49,8.166666666666666,4.8979591836734695,13.333333333333334,16.333333333333332
BW Hilfenhaus,Sunrisers Hyderabad,63,3,49,8.166666666666666,7.714285714285714,21.0,16.333333333333332
Basil Thampi,Delhi Capitals,159,5,101,16.833333333333332,9.445544554455447,31.8,20.2
Basil Thampi,Kolkata Knight Riders,105,2,66,11.0,9.545454545454545,52.5,33.0
Basil Thampi,Mumbai Indians,107,5,85,14.166666666666666,7.552941176470589,21.4,17.0
Basil Thampi,Punjab Kings,153,5,89,14.833333333333334,10.314606741573034,30.6,17.8
Basil Thampi,Rajasthan Royals,52,1,18,3.0,17.333333333333332,52.0,18.0
Basil Thampi,Rising Pune Supergiants,56,2,43,7.166666666666667,7.813953488372093,28.0,21.5
Basil Thampi,Royal Challengers Bengaluru,193,2,123,20.5,9.414634146341463,96.5,61.5
Basil Thampi,Sunrisers Hyderabad,21,0,14,2.3333333333333335,9.0,21.0,14.0
Bipul Sharma,Chennai Super Kings,11,0,6,1.0,11.0,11.0,6.0
Bipul Sharma,Kolkata Knight Riders,94,1,78,13.0,7.230769230769231,94.0,78.0
Bipul Sharma,Mumbai Indians,77,2,63,10.5,7.333333333333333,38.5,31.5
Bipul Sharma,Other,127,4,95,15.833333333333334,8.021052631578947,31.75,23.75
Bipul Sharma,Punjab Kings,13,2,12,2.0,6.5,6.5,6.0
Bipul Sharma,Rajasthan Royals,61,1,56,9.333333333333334,6.535714285714286,61.0,56.0
Bipul Sharma,Rising Pune Supergiants,86,2,54,9.0,9.555555555555555,43.0,27.0
Bipul Sharma,Royal Challengers Bengaluru,84,4,60,10.0,8.4,21.0,15.0
Bipul Sharma,Sunrisers Hyderabad,19,1,12,2.0,9.5,19.0,12.0
